# Logfile created on 2026-03-26 17:48:01 +0100 by logger.rb/v1.5.3
2026-03-26 17:48:01 +0100: Memory Usage (440124K) : nldb_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440252K) : digibnd_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440380K) : via1_drw has 27 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440380K) : backmetal1_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440508K) : backmetal1_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440508K) : backmetal1_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440636K) : backmetal1_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440636K) : backmetal1_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440764K) : backmetal1_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440764K) : backmetal1_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440764K) : backmetal1_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440892K) : backmetal1_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440892K) : backmetal1_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441020K) : backmetal1_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441020K) : backmetal1_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441148K) : backpassiv_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441148K) : res_drw has 35 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441276K) : sram_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441276K) : trans_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441404K) : ind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441404K) : ind_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441532K) : ind_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441660K) : salblock_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441660K) : via2_drw has 12 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441788K) : metal3_drw has 10 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441788K) : metal3_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441916K) : metal3_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441916K) : metal3_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442044K) : metal3_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442044K) : metal3_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442044K) : metal3_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442172K) : metal3_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442172K) : metal3_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442300K) : metal3_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442300K) : metal3_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442428K) : metal3_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442428K) : nwell_drw has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442428K) : nwell_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442556K) : nbulay_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442684K) : nbulay_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442684K) : nbulay_block has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442812K) : emwind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442940K) : emwind_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442940K) : deepco_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442940K) : deepco_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443068K) : mim_drw has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443068K) : edgeseal_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443196K) : edgeseal_bound has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443196K) : substrate_drw has 6 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443324K) : substrate_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443324K) : dfpad_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443324K) : dfpad_pillar has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443452K) : dfpad_sbump has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443452K) : thickgateox_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443580K) : pldb_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443580K) : pwell_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443708K) : pwell_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443708K) : pwell_block has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443836K) : ic_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443836K) : via3_drw has 12 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443964K) : metal4_drw has 10 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443964K) : metal4_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444092K) : metal4_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444092K) : metal4_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444220K) : metal4_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444220K) : metal4_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444220K) : metal4_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444348K) : metal4_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444476K) : metal4_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444476K) : metal4_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444604K) : metal4_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444604K) : metal4_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444604K) : heattrans_drw has 10 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444732K) : heatres_drw has 35 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444732K) : pempoly_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444860K) : fbe_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444988K) : empoly_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (444988K) : ldmos_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445116K) : pbiwind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445116K) : digisub_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445116K) : nodrc_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445244K) : text_drw has 45 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445244K) : via4_drw has 12 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445372K) : metal5_drw has 24 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445372K) : metal5_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445500K) : metal5_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445500K) : metal5_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445500K) : metal5_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445628K) : metal5_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445628K) : metal5_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445756K) : metal5_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445756K) : metal5_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (445756K) : metal5_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446012K) : metal5_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446012K) : metal5_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446140K) : radhard_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446140K) : memcap_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446268K) : varicap_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446268K) : flash_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446396K) : intbondvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446396K) : intbondmet_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446396K) : devbondvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446524K) : devbondmet_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446524K) : devtrench_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446652K) : redist_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446652K) : graphbot_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446652K) : graphtop_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446780K) : antvia1_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446780K) : antmetal2_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (446908K) : graphcont_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447036K) : siwg_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447036K) : siwg_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447164K) : siwg_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447164K) : sigrating_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447292K) : singrating_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447292K) : graphpas_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447292K) : emwind3_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447420K) : emwihv3_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447420K) : redbulay_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447420K) : smos_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447548K) : graphpad_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447548K) : polimide_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447548K) : polimide_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447548K) : recog_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447676K) : recog_pin has 0 polygons
