 2.55084713e+01  2.55084713e+01  2.55084713e+01  3.87647672e+02  2.55084713e+01  2.30719860e+03 
 2.52824366e+01  2.52824366e+01  2.52824366e+01  4.00012607e+02  2.52824366e+01  2.16250603e+03 
 2.50078112e+01  2.50078112e+01  2.50078112e+01  4.11224650e+02  2.50078112e+01  2.18741441e+03 
 2.47036136e+01  2.47036136e+01  2.47036136e+01  3.86620747e+02  2.47036136e+01  2.19801527e+03 
 2.47462941e+01  2.47462941e+01  2.47462941e+01  4.20809075e+02  2.47462941e+01  2.44949752e+03 
 2.56684670e+01  2.56684670e+01  2.56684670e+01  4.07401174e+02  2.56684670e+01  2.03208275e+03 
 2.49350939e+01  2.49350939e+01  2.49350939e+01  4.11229669e+02  2.49350939e+01  2.22673748e+03 
 2.45337744e+01  2.45337744e+01  2.45337744e+01  3.99257059e+02  2.45337744e+01  2.19611176e+03 
 2.46269578e+01  2.46269578e+01  2.46269578e+01  3.89856111e+02  2.46269578e+01  1.97967643e+03 
 2.52203647e+01  2.52203647e+01  2.52203647e+01  4.19060956e+02  2.52203647e+01  2.05838646e+03 
 2.49070643e+01  2.49070643e+01  2.49070643e+01  3.98093948e+02  2.49070643e+01  1.94553646e+03 
 2.51437011e+01  2.51437011e+01  2.51437011e+01  3.99019543e+02  2.51437011e+01  2.02828682e+03 
 2.45894775e+01  2.45894775e+01  2.45894775e+01  3.96890060e+02  2.45894775e+01  1.97717871e+03 
 2.46346336e+01  2.46346336e+01  2.46346336e+01  4.01952636e+02  2.46346336e+01  2.15515931e+03 
 2.50341698e+01  2.50341698e+01  2.50341698e+01  3.87782087e+02  2.50341698e+01  1.88820128e+03 
 2.47602419e+01  2.47602419e+01  2.47602419e+01  3.94047507e+02  2.47602419e+01  2.19999128e+03 
 2.50642976e+01  2.50642976e+01  2.50642976e+01  4.15566836e+02  2.50642976e+01  2.00618598e+03 
 2.51508495e+01  2.51508495e+01  2.51508495e+01  4.05201918e+02  2.51508495e+01  2.15937990e+03 
 2.55937519e+01  2.55937519e+01  2.55937519e+01  4.22469148e+02  2.55937519e+01  2.09875339e+03 
 2.46398140e+01  2.46398140e+01  2.46398140e+01  4.11939234e+02  2.46398140e+01  1.76390152e+03 
 2.48959747e+01  2.48959747e+01  2.48959747e+01  4.05605138e+02  2.48959747e+01  2.03508529e+03 
 2.49373232e+01  2.49373232e+01  2.49373232e+01  3.96850351e+02  2.49373232e+01  1.95552214e+03 
 2.54483311e+01  2.54483311e+01  2.54483311e+01  4.04003623e+02  2.54483311e+01  2.11807725e+03 
 2.48917988e+01  2.48917988e+01  2.48917988e+01  4.06151553e+02  2.48917988e+01  1.62073002e+03 
 2.44379577e+01  2.44379577e+01  2.44379577e+01  4.06393844e+02  2.44379577e+01  2.04537829e+03 
 2.52771600e+01  2.52771600e+01  2.52771600e+01  4.04647642e+02  2.52771600e+01  2.11562631e+03 
