Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_15_49,VSS,Metal1,30.9660,75.1390,0.000496
FILLER_15_42,VSS,Metal1,27.6060,75.1390,0.000036
FILLER_15_35,VSS,Metal1,24.2460,75.1390,0.000032
FILLER_15_28,VSS,Metal1,20.8860,75.1390,0.000032
FILLER_15_21,VSS,Metal1,17.5260,75.1390,0.000032
FILLER_15_14,VSS,Metal1,14.1660,75.1390,0.000032
FILLER_15_7,VSS,Metal1,10.8060,75.1390,0.000035
FILLER_15_0,VSS,Metal1,7.4460,75.1390,0.000035
FILLER_14_166,VSS,Metal1,85.6800,68.0400,0.000819
FILLER_14_162,VSS,Metal1,84.4680,68.4160,0.000819
FILLER_14_155,VSS,Metal1,81.8460,68.5000,0.000819
FILLER_14_148,VSS,Metal1,78.4860,68.5000,0.000819
FILLER_14_141,VSS,Metal1,75.1260,68.5000,0.000819
FILLER_14_134,VSS,Metal1,71.7660,68.5000,0.000819
FILLER_14_127,VSS,Metal1,68.4060,68.5000,0.000819
FILLER_14_121,VSS,Metal1,64.3200,68.0400,0.000819
FILLER_14_114,VSS,Metal1,62.1660,68.5000,0.000819
FILLER_14_107,VSS,Metal1,58.8060,68.5000,0.000819
FILLER_14_65,VSS,Metal1,37.9080,68.4160,0.000536
FILLER_14_58,VSS,Metal1,34.0800,68.0400,0.000527
FILLER_14_54,VSS,Metal1,32.6280,68.4160,0.000112
FILLER_14_49,VSS,Metal1,29.5200,68.0400,0.000092
FILLER_14_47,VSS,Metal1,28.8000,68.0400,0.000088
FILLER_14_7,VSS,Metal1,9.6000,68.0400,0.000124
FILLER_14_0,VSS,Metal1,7.4460,68.5000,0.000137
FILLER_13_163,VSS,Metal1,84.9480,67.6630,0.000819
FILLER_13_156,VSS,Metal1,82.3260,67.5790,0.000819
FILLER_13_149,VSS,Metal1,78.9660,67.5790,0.000819
FILLER_13_142,VSS,Metal1,75.6060,67.5790,0.000819
FILLER_13_136,VSS,Metal1,71.2800,68.0400,0.000819
FILLER_13_118,VSS,Metal1,63.3480,67.6630,0.000819
FILLER_13_111,VSS,Metal1,60.7260,67.5790,0.000819
FILLER_13_104,VSS,Metal1,57.3660,67.5790,0.000819
FILLER_13_97,VSS,Metal1,54.0060,67.5790,0.000819
FILLER_13_90,VSS,Metal1,50.6460,67.5790,0.000819
FILLER_13_83,VSS,Metal1,47.2860,67.5790,0.000819
FILLER_13_76,VSS,Metal1,43.9260,67.5790,0.000789
FILLER_13_69,VSS,Metal1,40.5660,67.5790,0.000715
FILLER_13_62,VSS,Metal1,37.2060,67.5790,0.000535
FILLER_13_45,VSS,Metal1,28.3080,67.6630,0.000088
FILLER_13_36,VSS,Metal1,23.2800,68.0400,0.000088
FILLER_13_34,VSS,Metal1,22.5600,68.0400,0.000088
FILLER_12_165,VSS,Metal1,85.4400,60.4800,0.001063
FILLER_12_107,VSS,Metal1,57.3600,60.4800,0.001023
FILLER_12_70,VSS,Metal1,41.0460,60.9400,0.000982
FILLER_12_63,VSS,Metal1,37.6860,60.9400,0.000980
FILLER_12_53,VSS,Metal1,31.4400,60.4800,0.000912
FILLER_12_49,VSS,Metal1,30.2280,60.8560,0.000093
FILLER_12_35,VSS,Metal1,23.0400,60.4800,0.000090
FILLER_12_4,VSS,Metal1,7.9200,60.4800,0.000237
FILLER_12_0,VSS,Metal1,6.7080,60.8560,0.000250
FILLER_11_166,VSS,Metal1,85.6800,60.4800,0.001063
FILLER_11_120,VSS,Metal1,63.6000,60.4800,0.001042
FILLER_11_116,VSS,Metal1,62.3880,60.1030,0.001042
FILLER_11_109,VSS,Metal1,59.7660,60.0190,0.001039
FILLER_11_102,VSS,Metal1,56.4060,60.0190,0.001023
FILLER_11_95,VSS,Metal1,53.0460,60.0190,0.001020
FILLER_11_88,VSS,Metal1,49.6860,60.0190,0.001019
FILLER_11_81,VSS,Metal1,46.3260,60.0190,0.001019
FILLER_11_74,VSS,Metal1,42.9660,60.0190,0.000982
FILLER_11_67,VSS,Metal1,39.6060,60.0190,0.000980
FILLER_11_60,VSS,Metal1,36.2460,60.0190,0.000978
FILLER_11_51,VSS,Metal1,30.4800,60.4800,0.000093
FILLER_11_47,VSS,Metal1,29.2680,60.1030,0.000093
FILLER_11_40,VSS,Metal1,26.6460,60.0190,0.000082
FILLER_11_33,VSS,Metal1,23.2860,60.0190,0.000090
FILLER_11_26,VSS,Metal1,19.9260,60.0190,0.000183
FILLER_11_19,VSS,Metal1,16.5660,60.0190,0.000183
FILLER_11_8,VSS,Metal1,9.8400,60.4800,0.000233
FILLER_11_4,VSS,Metal1,8.6280,60.1030,0.000237
FILLER_10_165,VSS,Metal1,85.4400,52.9200,0.000198
FILLER_10_161,VSS,Metal1,83.9880,53.2960,0.000198
FILLER_10_154,VSS,Metal1,81.3660,53.3800,0.000198
FILLER_10_147,VSS,Metal1,78.0060,53.3800,0.000198
FILLER_10_138,VSS,Metal1,72.2400,52.9200,0.000195
FILLER_10_134,VSS,Metal1,71.0280,53.2960,0.000195
FILLER_10_123,VSS,Metal1,66.4860,53.3800,0.000178
FILLER_10_116,VSS,Metal1,63.1260,53.3800,0.000178
FILLER_10_109,VSS,Metal1,59.7660,53.3800,0.000178
FILLER_10_102,VSS,Metal1,56.4060,53.3800,0.000178
FILLER_10_95,VSS,Metal1,53.0460,53.3800,0.000178
FILLER_10_88,VSS,Metal1,49.6860,53.3800,0.000178
FILLER_10_81,VSS,Metal1,46.3260,53.3800,0.000178
FILLER_10_66,VSS,Metal1,39.1260,53.3800,0.000097
FILLER_10_59,VSS,Metal1,35.7660,53.3800,0.000094
FILLER_10_52,VSS,Metal1,32.4060,53.3800,0.000078
FILLER_10_25,VSS,Metal1,18.2400,52.9200,0.000065
FILLER_10_21,VSS,Metal1,16.7880,53.2960,0.000070
FILLER_10_14,VSS,Metal1,14.1660,53.3800,0.000070
FILLER_10_7,VSS,Metal1,10.8060,53.3800,0.000073
FILLER_10_0,VSS,Metal1,7.4460,53.3800,0.000073
FILLER_9_166,VSS,Metal1,85.6800,52.9200,0.000198
FILLER_9_159,VSS,Metal1,83.7660,52.4590,0.000198
FILLER_9_152,VSS,Metal1,80.4060,52.4590,0.000198
FILLER_9_145,VSS,Metal1,77.0460,52.4590,0.000198
FILLER_9_135,VSS,Metal1,72.2460,52.4590,0.000195
FILLER_9_128,VSS,Metal1,68.8860,52.4590,0.000178
FILLER_9_121,VSS,Metal1,65.5260,52.4590,0.000178
FILLER_9_114,VSS,Metal1,62.1660,52.4590,0.000178
FILLER_9_107,VSS,Metal1,58.8060,52.4590,0.000178
FILLER_9_100,VSS,Metal1,55.4460,52.4590,0.000178
FILLER_9_93,VSS,Metal1,52.0860,52.4590,0.000178
FILLER_9_86,VSS,Metal1,48.7260,52.4590,0.000178
FILLER_9_79,VSS,Metal1,45.3660,52.4590,0.000178
FILLER_9_69,VSS,Metal1,39.1200,52.9200,0.000097
FILLER_9_67,VSS,Metal1,38.4000,52.9200,0.000097
FILLER_9_47,VSS,Metal1,29.2680,52.5430,0.000061
FILLER_9_40,VSS,Metal1,26.6460,52.4590,0.000055
FILLER_9_33,VSS,Metal1,23.2860,52.4590,0.000061
FILLER_9_26,VSS,Metal1,19.9260,52.4590,0.000061
FILLER_9_19,VSS,Metal1,16.5660,52.4590,0.000070
FILLER_9_7,VSS,Metal1,9.6000,52.9200,0.000073
FILLER_9_0,VSS,Metal1,7.4460,52.4590,0.000073
FILLER_8_166,VSS,Metal1,85.6800,45.3600,0.003596
FILLER_8_134,VSS,Metal1,70.5600,45.3600,0.003513
FILLER_8_130,VSS,Metal1,69.1080,45.7360,0.003510
FILLER_8_123,VSS,Metal1,66.4860,45.8200,0.003281
FILLER_8_116,VSS,Metal1,63.1260,45.8200,0.003253
FILLER_8_72,VSS,Metal1,41.2680,45.7360,0.001206
FILLER_8_66,VSS,Metal1,37.6800,45.3600,0.000989
FILLER_8_64,VSS,Metal1,36.9600,45.3600,0.000989
FILLER_8_48,VSS,Metal1,29.2800,45.3600,0.000119
FILLER_8_39,VSS,Metal1,24.7200,45.3600,0.000536
FILLER_8_37,VSS,Metal1,24.0000,45.3600,0.000536
FILLER_8_0,VSS,Metal1,7.4460,45.8200,0.000631
FILLER_7_166,VSS,Metal1,85.6800,45.3600,0.003596
FILLER_7_135,VSS,Metal1,70.8000,45.3600,0.003513
FILLER_7_131,VSS,Metal1,69.5880,44.9830,0.003510
FILLER_7_125,VSS,Metal1,66.0000,45.3600,0.003281
FILLER_7_123,VSS,Metal1,65.2800,45.3600,0.003281
FILLER_7_118,VSS,Metal1,62.6400,45.3600,0.003253
FILLER_7_116,VSS,Metal1,61.9200,45.3600,0.003253
FILLER_7_100,VSS,Metal1,54.0000,45.3600,0.003159
FILLER_7_96,VSS,Metal1,52.7880,44.9830,0.003159
FILLER_7_91,VSS,Metal1,49.9200,45.3600,0.003158
FILLER_7_87,VSS,Metal1,48.4680,44.9830,0.003132
FILLER_7_80,VSS,Metal1,45.8460,44.8990,0.003021
FILLER_7_52,VSS,Metal1,31.2000,45.3600,0.000119
FILLER_7_45,VSS,Metal1,29.0460,44.8990,0.000119
FILLER_7_37,VSS,Metal1,24.4680,44.9830,0.000536
FILLER_7_0,VSS,Metal1,7.4460,44.8990,0.000631
FILLER_6_166,VSS,Metal1,85.6800,37.8000,0.000558
FILLER_6_164,VSS,Metal1,84.9600,37.8000,0.000558
FILLER_6_157,VSS,Metal1,82.8060,38.2600,0.000558
FILLER_6_152,VSS,Metal1,78.9600,37.8000,0.000558
FILLER_6_145,VSS,Metal1,77.0460,38.2600,0.000558
FILLER_6_138,VSS,Metal1,73.6860,38.2600,0.000558
FILLER_6_113,VSS,Metal1,60.2400,37.8000,0.000497
FILLER_6_106,VSS,Metal1,58.3260,38.2600,0.000495
FILLER_6_96,VSS,Metal1,52.3200,37.8000,0.000484
FILLER_6_89,VSS,Metal1,50.1660,38.2600,0.000407
FILLER_6_84,VSS,Metal1,46.3200,37.8000,0.000381
FILLER_6_77,VSS,Metal1,44.4060,38.2600,0.000381
FILLER_6_68,VSS,Metal1,38.6400,37.8000,0.000364
FILLER_6_61,VSS,Metal1,36.7260,38.2600,0.000276
FILLER_6_54,VSS,Metal1,33.3660,38.2600,0.000185
FILLER_6_47,VSS,Metal1,30.0060,38.2600,0.000095
FILLER_6_40,VSS,Metal1,26.6460,38.2600,0.000094
FILLER_6_33,VSS,Metal1,23.2860,38.2600,0.000094
FILLER_6_26,VSS,Metal1,19.9260,38.2600,0.000096
FILLER_6_19,VSS,Metal1,16.5660,38.2600,0.000096
FILLER_6_8,VSS,Metal1,9.8400,37.8000,0.000101
FILLER_6_4,VSS,Metal1,8.6280,38.1760,0.000114
FILLER_5_166,VSS,Metal1,85.6800,37.8000,0.000558
FILLER_5_164,VSS,Metal1,84.9600,37.8000,0.000558
FILLER_5_157,VSS,Metal1,82.8060,37.3390,0.000558
FILLER_5_150,VSS,Metal1,79.4460,37.3390,0.000558
FILLER_5_143,VSS,Metal1,76.0860,37.3390,0.000558
FILLER_5_136,VSS,Metal1,72.7260,37.3390,0.000558
FILLER_5_129,VSS,Metal1,69.3660,37.3390,0.000558
FILLER_5_122,VSS,Metal1,64.8000,37.8000,0.000529
FILLER_5_116,VSS,Metal1,61.9200,37.8000,0.000497
FILLER_5_109,VSS,Metal1,59.7660,37.3390,0.000497
FILLER_5_102,VSS,Metal1,56.4060,37.3390,0.000495
FILLER_5_95,VSS,Metal1,53.0460,37.3390,0.000484
FILLER_5_88,VSS,Metal1,49.6860,37.3390,0.000406
FILLER_5_81,VSS,Metal1,46.3260,37.3390,0.000381
FILLER_5_74,VSS,Metal1,42.9660,37.3390,0.000379
FILLER_5_67,VSS,Metal1,39.6060,37.3390,0.000364
FILLER_5_60,VSS,Metal1,36.2460,37.3390,0.000274
FILLER_5_53,VSS,Metal1,32.8860,37.3390,0.000183
FILLER_5_21,VSS,Metal1,17.5260,37.3390,0.000096
FILLER_5_14,VSS,Metal1,14.1660,37.3390,0.000096
FILLER_5_7,VSS,Metal1,10.8060,37.3390,0.000101
FILLER_5_0,VSS,Metal1,7.4460,37.3390,0.000114
FILLER_4_166,VSS,Metal1,85.6800,30.2400,0.000475
FILLER_4_162,VSS,Metal1,84.4680,30.6160,0.000475
FILLER_4_155,VSS,Metal1,81.8460,30.7000,0.000475
FILLER_4_148,VSS,Metal1,78.4860,30.7000,0.000475
FILLER_4_141,VSS,Metal1,75.1260,30.7000,0.000475
FILLER_4_134,VSS,Metal1,71.7660,30.7000,0.000448
FILLER_4_127,VSS,Metal1,68.4060,30.7000,0.000445
FILLER_4_121,VSS,Metal1,64.0800,30.2400,0.000296
FILLER_4_114,VSS,Metal1,62.1660,30.7000,0.000284
FILLER_4_107,VSS,Metal1,58.8060,30.7000,0.000273
FILLER_4_100,VSS,Metal1,55.4460,30.7000,0.000203
FILLER_4_93,VSS,Metal1,52.0860,30.7000,0.000179
FILLER_4_86,VSS,Metal1,48.7260,30.7000,0.000179
FILLER_4_79,VSS,Metal1,45.3660,30.7000,0.000179
FILLER_4_72,VSS,Metal1,42.0060,30.7000,0.000174
FILLER_4_65,VSS,Metal1,38.6460,30.7000,0.000161
FILLER_4_58,VSS,Metal1,35.2860,30.7000,0.000161
FILLER_4_51,VSS,Metal1,31.9260,30.7000,0.000130
FILLER_4_44,VSS,Metal1,28.5660,30.7000,0.000130
FILLER_4_37,VSS,Metal1,25.2060,30.7000,0.000066
FILLER_4_30,VSS,Metal1,21.8460,30.7000,0.000083
FILLER_4_23,VSS,Metal1,18.4860,30.7000,0.000087
FILLER_4_9,VSS,Metal1,10.3200,30.2400,0.000122
FILLER_4_7,VSS,Metal1,9.6000,30.2400,0.000122
FILLER_4_0,VSS,Metal1,7.4460,30.7000,0.000122
FILLER_3_165,VSS,Metal1,85.4400,30.2400,0.000475
FILLER_3_120,VSS,Metal1,63.8400,30.2400,0.000296
FILLER_3_114,VSS,Metal1,60.7200,30.2400,0.000284
FILLER_3_107,VSS,Metal1,58.8060,29.7790,0.000273
FILLER_3_98,VSS,Metal1,53.0400,30.2400,0.000179
FILLER_3_91,VSS,Metal1,51.1260,29.7790,0.000179
FILLER_3_84,VSS,Metal1,47.7660,29.7790,0.000179
FILLER_3_67,VSS,Metal1,38.1600,30.2400,0.000161
FILLER_3_63,VSS,Metal1,36.9480,29.8630,0.000161
FILLER_3_57,VSS,Metal1,33.3600,30.2400,0.000130
FILLER_3_53,VSS,Metal1,32.1480,29.8630,0.000130
FILLER_3_46,VSS,Metal1,29.5260,29.7790,0.000130
FILLER_3_7,VSS,Metal1,9.6000,30.2400,0.000122
FILLER_3_0,VSS,Metal1,7.4460,29.7790,0.000122
FILLER_2_162,VSS,Metal1,83.7600,22.6800,0.001466
FILLER_2_158,VSS,Metal1,82.5480,23.0560,0.001466
FILLER_2_151,VSS,Metal1,79.9260,23.1400,0.001466
FILLER_2_144,VSS,Metal1,76.5660,23.1400,0.001466
FILLER_2_140,VSS,Metal1,73.2000,22.6800,0.001466
FILLER_2_136,VSS,Metal1,71.9880,23.0560,0.001457
FILLER_2_127,VSS,Metal1,66.9600,22.6800,0.001454
FILLER_2_114,VSS,Metal1,60.7200,22.6800,0.001451
FILLER_2_48,VSS,Metal1,29.0400,22.6800,0.000177
FILLER_2_46,VSS,Metal1,28.3200,22.6800,0.000177
FILLER_2_2,VSS,Metal1,6.9600,22.6800,0.000149
FILLER_2_0,VSS,Metal1,6.2400,22.6800,0.000149
FILLER_1_160,VSS,Metal1,84.2460,22.2190,0.001466
FILLER_1_153,VSS,Metal1,80.8860,22.2190,0.001466
FILLER_1_146,VSS,Metal1,77.5260,22.2190,0.001466
FILLER_1_139,VSS,Metal1,74.1660,22.2190,0.001466
FILLER_1_132,VSS,Metal1,70.8060,22.2190,0.001457
FILLER_1_125,VSS,Metal1,67.4460,22.2190,0.001454
FILLER_1_118,VSS,Metal1,64.0860,22.2190,0.001454
FILLER_1_111,VSS,Metal1,60.7260,22.2190,0.001451
FILLER_1_94,VSS,Metal1,51.8280,22.3030,0.001441
FILLER_1_87,VSS,Metal1,49.2060,22.2190,0.001441
FILLER_1_74,VSS,Metal1,41.5200,22.6800,0.001407
FILLER_1_66,VSS,Metal1,38.3880,22.3030,0.001406
FILLER_1_46,VSS,Metal1,28.7880,22.3030,0.000177
FILLER_1_39,VSS,Metal1,26.1660,22.2190,0.000131
FILLER_1_11,VSS,Metal1,11.2800,22.6800,0.000146
FILLER_1_7,VSS,Metal1,10.0680,22.3030,0.000147
FILLER_1_0,VSS,Metal1,7.4460,22.2190,0.000149
FILLER_0_166,VSS,Metal1,85.6800,15.1200,0.000003
FILLER_0_162,VSS,Metal1,84.4680,15.4960,0.000003
FILLER_0_155,VSS,Metal1,81.8460,15.5800,0.000003
FILLER_0_148,VSS,Metal1,78.4860,15.5800,0.000003
FILLER_0_141,VSS,Metal1,75.1260,15.5800,0.000003
FILLER_0_134,VSS,Metal1,71.7660,15.5800,0.000003
FILLER_0_127,VSS,Metal1,68.4060,15.5800,0.000003
FILLER_0_120,VSS,Metal1,65.0460,15.5800,0.000003
FILLER_0_113,VSS,Metal1,61.6860,15.5800,0.000003
FILLER_0_106,VSS,Metal1,58.3260,15.5800,0.000003
FILLER_0_99,VSS,Metal1,54.9660,15.5800,0.000003
FILLER_0_92,VSS,Metal1,51.6060,15.5800,0.000003
FILLER_0_85,VSS,Metal1,48.2460,15.5800,0.000003
FILLER_0_78,VSS,Metal1,44.8860,15.5800,0.000003
FILLER_0_74,VSS,Metal1,41.5200,15.1200,0.000003
FILLER_0_70,VSS,Metal1,40.3080,15.4960,0.000002
FILLER_0_63,VSS,Metal1,37.6860,15.5800,0.000002
FILLER_0_56,VSS,Metal1,34.3260,15.5800,0.000002
FILLER_0_49,VSS,Metal1,30.9660,15.5800,0.000001
FILLER_0_42,VSS,Metal1,27.6060,15.5800,0.000001
FILLER_0_35,VSS,Metal1,24.2460,15.5800,0.000000
FILLER_0_28,VSS,Metal1,20.8860,15.5800,0.000000
FILLER_0_21,VSS,Metal1,17.5260,15.5800,0.000000
FILLER_0_14,VSS,Metal1,14.1660,15.5800,0.000000
FILLER_0_7,VSS,Metal1,10.8060,15.5800,0.000000
FILLER_0_0,VSS,Metal1,7.4460,15.5800,0.000000
clkload0,VSS,Metal1,15.7300,68.2870,0.000088
clkbuf_1_1__f_sclk,VSS,Metal1,22.3200,68.4290,0.000088
clkbuf_1_0__f_sclk,VSS,Metal1,25.2000,37.4100,0.000094
clkbuf_0_sclk,VSS,Metal1,24.7190,53.3090,0.000061
fanout11,VSS,Metal1,47.4850,90.5070,0.008108
fanout10,VSS,Metal1,51.3950,90.9320,0.008485
fanout9,VSS,Metal1,8.1950,83.3720,0.000257
fanout8,VSS,Metal1,8.1950,67.8270,0.000151
fanout7,VSS,Metal1,80.1950,38.0120,0.000558
fanout6,VSS,Metal1,65.7950,68.2520,0.000819
fanout5,VSS,Metal1,43.1650,45.1470,0.001516
output4,VSS,Metal1,84.9250,22.8920,0.001466
input3,VSS,Metal1,6.6850,38.0120,0.000123
input2,VSS,Metal1,6.6850,90.5070,0.000353
input1,VSS,Metal1,6.6850,60.2670,0.000250
_268_,VSS,Metal1,61.5450,83.4520,0.000530
_267_,VSS,Metal1,54.8250,90.4270,0.008477
_266_,VSS,Metal1,76.4250,75.8920,0.000570
_265_,VSS,Metal1,77.1750,83.4520,0.000531
_264_,VSS,Metal1,68.7450,82.8670,0.000530
_263_,VSS,Metal1,78.8250,60.1870,0.001063
_262_,VSS,Metal1,78.3450,60.7720,0.001063
_261_,VSS,Metal1,65.3850,60.7720,0.001042
_260_,VSS,Metal1,78.8250,45.6520,0.003596
_259_,VSS,Metal1,46.1850,83.4520,0.000367
_258_,VSS,Metal1,44.2650,82.8670,0.000367
_257_,VSS,Metal1,50.5050,68.3320,0.000819
_256_,VSS,Metal1,50.5050,60.7720,0.001019
_255_,VSS,Metal1,54.8250,45.6520,0.003159
_254_,VSS,Metal1,78.8250,45.0670,0.003596
_253_,VSS,Metal1,78.3450,29.9470,0.000475
_252_,VSS,Metal1,51.4650,22.9720,0.001441
_251_,VSS,Metal1,37.0650,22.9720,0.001406
_250_,VSS,Metal1,15.4650,82.8670,0.000214
_249_,VSS,Metal1,15.4650,83.4520,0.000214
_248_,VSS,Metal1,15.4650,67.7470,0.000088
_247_,VSS,Metal1,15.9450,60.7720,0.000183
_246_,VSS,Metal1,16.9050,45.6520,0.000614
_245_,VSS,Metal1,16.9050,45.0670,0.000614
_244_,VSS,Metal1,21.2250,29.9470,0.000087
_243_,VSS,Metal1,17.8650,22.3870,0.000146
_242_,VSS,Metal1,21.2250,22.9720,0.000143
_241_,VSS,Metal1,56.7500,82.9120,0.000532
_240_,VSS,Metal1,53.6500,83.4070,0.000396
